slang,formal
Akoh lagi syedih,Aku sedang sedih
Gw males banget ngerjain tugas ini,Saya malas sekali mengerjakan tugas ini
Elo mau ikut nongki gak?,Kamu mau ikut nongkrong tidak?
Nggak usah lebay deh,Tidak usah berlebihan
Udah kelar belom kerjaan lo?,Sudah selesai belum pekerjaanmu?
Makan mi instan aja dah malem ini,Makan mi instan saja malam ini
Gitu amat sih ngambeknya,Begitu sekali marahnya
Kenawhy kamu nangis?,Mengapa kamu menangis?
"Baju lo bagus banged, beli dimana?","Bajumu bagus sekali, beli di mana?"
"Kalo sempet, mampir ya ke rumah gw","Kalau sempat, mampir ya ke rumah saya"
Trus kita kudu piyee?,Terus kita harus bagaimana?
Keknya besok bakal ujan deres,Sepertinya besok akan hujan deras
Beneran dia menang undian?,Sungguh dia menang undian?
Ciyus lo gak tau berita itu?,Serius kamu tidak tahu berita itu?
Miapah dia bisa sekeren itu?,Demi apa dia bisa sekeren itu?
Mager parah abis makan banyak,Malas bergerak parah setelah makan banyak
"Jangan baperan gitu, ntar susah move on","Jangan mudah terbawa perasaan, nanti susah melanjutkan hidup"
Pake bajunya jangan alay gitu dong,Pakai bajunya jangan norak begitu
Bokap lagi benerin mobil di garasi,Ayah sedang memperbaiki mobil di garasi
Nyokap masak rendang kesukaan gw,Ibu memasak rendang kesukaanku
Doi tiba-tiba ngilang gitu aja,Dia (kekasih) tiba-tiba menghilang begitu saja
Gebetan gw cakep banget cuy,Orang yang kusuka tampan sekali
Awas lo kena PHP lagi sama dia,Awas kamu diberi harapan palsu lagi olehnya
"Woles aja, bro, masih banyak waktu","Santai saja, kawan, masih banyak waktu"
Santuy di pantai sambil minum es kelapa,Bersantai di pantai sambil minum es kelapa
Kuy lah kita kerjain bareng tugasnya,Ayo kita kerjakan bersama tugasnya
Masakan lo mantul abis!,Masakanmu mantap betul!
Gw japri ya buat info lebih lanjut,Saya kirim pesan pribadi ya untuk informasi lebih lanjut
"Cek PC lo gih, ada yang penting","Periksa pesan pribadimu, ada yang penting"
"Malem ini VC yuk, kangen ngobrol","Malam ini panggilan video yuk, rindu berbincang"
"Lagi OTW ke tempat lo nih, tunggu ya","Sedang dalam perjalanan ke tempatmu, tunggu ya"
"BTW, film yang kemaren seru gak?","Ngomong-ngomong, film yang kemarin seru tidak?"
"CMIIW, tapi kayaknya jawabannya salah","Koreksi jika saya salah, tapi sepertinya jawabannya keliru"
Laporannya dibikin ASAP ya guys,Laporannya dibuat secepatnya ya teman-teman
Ngakak LOL liat tingkah lakunya,Tertawa terbahak-bahak melihat tingkah lakunya
"OMG, dompet gw ketinggalan!","Ya Tuhan, dompetku tertinggal!"
"Anjir, kaget banget ada suara itu","(Ekspresi kaget), kaget sekali ada suara itu"
Ide lo emang paling goks!,Idemu memang paling luar biasa!
"Ntaps, dapet nilai A di ujian","Mantap, dapat nilai A di ujian"
Mau beli cangcimen buat cemilan,"Mau beli kacang, kuaci, permen untuk camilan"
Cewek itu cans pisan euy,Perempuan itu cantik sekali
Si gans itu adek kelas kita ternyata,Si tampan itu adik kelas kita ternyata
Kucingnya gemoy minta dicubit,Kucingnya menggemaskan ingin dicubit
Ini baru namanya liburan HQQ,Ini baru namanya liburan hakiki
Kids jaman now hobinya bikin konten,Anak zaman sekarang hobinya membuat konten
Lo kepo banget sama urusan pribadi gw,Kamu ingin tahu sekali urusan pribadiku
Pengen curcol tapi gak ada temen,Ingin curhat colongan tapi tidak ada teman
"Abis diputusin, galaunya gak abis-abis","Setelah diputuskan, gundah gulananya tidak habis-habis"
Kasian deh lo jadi jones melulu,Kasihan kamu jadi jomblo merana terus
"Modusnya alus banget, hampir ketipu","Modus operandinya halus sekali, hampir tertipu"
Pansos mulu kerjaannya di medsos,Panjat sosial terus pekerjaannya di media sosial
Lawakannya receh tapi bikin ngakak,Leluconnya murahan tapi membuat tertawa
"Jangan rempong deh, bawa seperlunya aja","Jangan repot, bawa seperlunya saja"
"Dia emang sotoy, padahal gak ngerti","Dia memang sok tahu, padahal tidak mengerti"
Gayanya unyu banget kayak boneka,Gayanya lucu sekali seperti boneka
